ANO_BO,NUM_BO,NUMERO_BOLETIM,BO_INICIADO,BO_EMITIDO,DATAOCORRENCIA,HORAOCORRENCIA,PERIDOOCORRENCIA,DATACOMUNICACAO,DATAELABORACAO,BO_AUTORIA,FLAGRANTE,NUMERO_BOLETIM_PRINCIPAL,LOGRADOURO,NUMERO,BAIRRO,CIDADE,UF,LATITUDE,LONGITUDE,DESCRICAOLOCAL,EXAME,SOLUCAO,DELEGACIA_NOME,DELEGACIA_CIRCUNSCRICAO,ESPECIE,RUBRICA,DESDOBRAMENTO,STATUS,TIPOPESSOA,VITIMAFATAL,NATURALIDADE,NACIONALIDADE,SEXO,DATANASCIMENTO,IDADE,ESTADOCIVIL,PROFISSAO,GRAUINSTRUCAO,CORCUTIS,NATUREZAVINCULADA,TIPOVINCULO,RELACIONAMENTO,PARENTESCO,PLACA_VEICULO,UF_VEICULO,CIDADE_VEICULO,DESCR_COR_VEICULO,DESCR_MARCA_VEICULO,ANO_FABRICACAO,ANO_MODELO,DESCR_TIPO_VEICULO,QUANT_CELULAR,MARCA_CELULAR
2022,2830,2830/2022,1/7/2022 0:16,1/7/2022 0:16,30/06/2022,20:15,A NOITE,1/7/2022,1/7/2022 0:16,Desconhecida,Não,,RUA BRASÍLIO MACHADO,65,CENTRO,S.BERNARDO DO CAMPO,SP,"-237,203,503,389,999","-46,542,554,697",Via pública,,APRECIAÇÃO DO DELEGADO TITULAR,01º D.P. S.B.C-DR OMAR CASSIM,01º D.P. S.B.C-DR OMAR CASSIM,Título II - Patrimônio (arts. 155 a 183),Furto (art. 155) - VEICULO,,Consumado,,,,,,,,,,,,,,,,EJL2A83,SP,PARDINHO,Preta,CHEV/SPIN 1.8L AT ACT7,2019,2019,AUTOMOVEL,,
2022,2639,2639/2022,1/7/2022 0:33,1/7/2022 0:33,30/06/2022,19:30,A NOITE,1/7/2022,1/7/2022 0:33,Desconhecida,Não,,,0,Jardim Dourado,GUARULHOS,SP,,,Via pública,,APRECIAÇÃO DO DELEGADO TITULAR,01º D.P. GUARULHOS,01º D.P. GUARULHOS,Título II - Patrimônio (arts. 155 a 183),Furto (art. 155) - VEICULO,,Consumado,,,,,,,,,,,,,,,,GJK7E96,SP,S.PAULO,Branco,VW/GOL 1.0L MC4,2021,2022,AUTOMOVEL,,
2022,6025,6025/2022,1/7/2022 0:34,1/7/2022 0:34,30/06/2022,,A NOITE,1/7/2022,1/7/2022 0:34,Desconhecida,Não,,RUA CHILE,1750,JD IRAJÁ,RIBEIRAO PRETO,SP,"-212,095,494,179,999","-47,805,120,097",Via pública,,ENCAMINHAMENTO DP ÁREA DO FATO,CPJ RIBEIRAO PRETO,04º D.P. RIBEIRAO PRETO,Título II - Patrimônio (arts. 155 a 183),Furto (art. 155) - VEICULO,,Consumado,,,,,,,,,,,,,,,,FOI2211,SP,RIBEIRAO PRETO,Preta,I/DODGE JOURNEY R/T,2011,2012,CAMIONETA,,
2022,4631,4631/2022,1/7/2022 0:54,1/7/2022 0:54,30/06/2022,23:50,A NOITE,1/7/2022,1/7/2022 0:54,Desconhecida,Não,,RUA DOUTOR SENG,201,BELA VISTA,S.PAULO,SP,"-23,562,547,197","-466,499,360,839,999",Via pública,,ENCAMINHAMENTO DP ÁREA DO FATO,78º D.P. JARDINS,05º D.P. ACLIMACAO,Título II - Patrimônio (arts. 155 a 183),Furto (art. 155) - VEICULO,,Consumado,,,,,,,,,,,,,,,,ELB4688,SP,S.PAULO,Cinza,FORD/KA SE 1.0 HA C,2018,2019,AUTOMOVEL,,
2022,2276,2276/2022,1/7/2022 2:02,1/7/2022 2:02,30/06/2022,22:30,A NOITE,1/7/2022,1/7/2022 2:02,Desconhecida,Não,,RUA BENEDITO MILTON SIMAO,27,JARDIM SUL,S.JOSE DOS CAMPOS,SP,"-2,324,907,404","-45,890,319,959",Via pública,,ENCAMINHAMENTO DP ÁREA DO FATO,DEL.SEC.POL.SJCAMPOS PL SUL,03º D.P. S.JOSE DOS CAMPOS,Título II - Patrimônio (arts. 155 a 183),Furto (art. 155) - VEICULO,,Consumado,,,,,,,,,,,,,,,,FNC9185,SP,S.JOSE DOS CAMPOS,Branco,CHEVROLET/MONTANA LS,2013,2014,CAMINHONETE,,
2022,3581,3581/2022,1/7/2022 2:03,1/7/2022 2:03,30/06/2022,20:50,A NOITE,30/06/2022,1/7/2022 2:03,Conhecida,Não,,RUA DOUTOR LUIZ AYRES,740,ARTUR ALVIM,S.PAULO,SP,"-23,535,932,209","-46,488,385,332",Via pública,,BO PARA INVESTIGAÇÃO,24º D.P. PONTE RASA,65º D.P. ARTUR ALVIM,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,,
2022,3581,3581/2022,1/7/2022 2:03,1/7/2022 2:03,30/06/2022,20:50,A NOITE,30/06/2022,1/7/2022 2:03,Conhecida,Não,,RUA DOUTOR LUIZ AYRES,740,ARTUR ALVIM,S.PAULO,SP,"-23,535,932,209","-46,488,385,332",Via pública,,BO PARA INVESTIGAÇÃO,24º D.P. PONTE RASA,65º D.P. ARTUR ALVIM,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,,Consumado,,,,,,,,,,,,,,,,BMG9114,SP,S.PAULO,Branco,VW/KOMBI,1993,1993,CAMIONETA,,
2022,3581,3581/2022,1/7/2022 2:03,1/7/2022 2:03,30/06/2022,20:50,A NOITE,30/06/2022,1/7/2022 2:03,Conhecida,Não,,RUA DOUTOR LUIZ AYRES,740,ARTUR ALVIM,S.PAULO,SP,"-23,535,932,209","-46,488,385,332",Via pública,,BO PARA INVESTIGAÇÃO,24º D.P. PONTE RASA,65º D.P. ARTUR ALVIM,Título II - Patrimônio (arts. 155 a 183),Furto (art. 155) - VEICULO,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,,
2022,3581,3581/2022,1/7/2022 2:03,1/7/2022 2:03,30/06/2022,20:50,A NOITE,30/06/2022,1/7/2022 2:03,Conhecida,Não,,RUA DOUTOR LUIZ AYRES,740,ARTUR ALVIM,S.PAULO,SP,"-23,535,932,209","-46,488,385,332",Via pública,,BO PARA INVESTIGAÇÃO,24º D.P. PONTE RASA,65º D.P. ARTUR ALVIM,Título II - Patrimônio (arts. 155 a 183),Furto (art. 155) - VEICULO,,Consumado,,,,,,,,,,,,,,,,BMG9114,SP,S.PAULO,Branco,VW/KOMBI,1993,1993,CAMIONETA,,
2022,3581,3581/2022,1/7/2022 2:03,1/7/2022 2:03,30/06/2022,20:50,A NOITE,30/06/2022,1/7/2022 2:03,Conhecida,Não,,RUA DOUTOR LUIZ AYRES,740,ARTUR ALVIM,S.PAULO,SP,"-23,535,932,209","-46,488,385,332",Via pública,,BO PARA INVESTIGAÇÃO,24º D.P. PONTE RASA,65º D.P. ARTUR ALVIM,Título II - Patrimônio (arts. 155 a 183),Receptação (art. 180) - VEICULO,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,,
2022,3581,3581/2022,1/7/2022 2:03,1/7/2022 2:03,30/06/2022,20:50,A NOITE,30/06/2022,1/7/2022 2:03,Conhecida,Não,,RUA DOUTOR LUIZ AYRES,740,ARTUR ALVIM,S.PAULO,SP,"-23,535,932,209","-46,488,385,332",Via pública,,BO PARA INVESTIGAÇÃO,24º D.P. PONTE RASA,65º D.P. ARTUR ALVIM,Título II - Patrimônio (arts. 155 a 183),Receptação (art. 180) - VEICULO,,Consumado,,,,,,,,,,,,,,,,BMG9114,SP,S.PAULO,Branco,VW/KOMBI,1993,1993,CAMIONETA,,
2022,2490,2490/2022,1/7/2022 3:27,1/7/2022 3:27,30/06/2022,17:30,A TARDE,1/7/2022,1/7/2022 3:27,Conhecida,Não,,Rua José Zara,170,Vila Guacuri,S.PAULO,SP,"-236,953,581","-466,333,735",Via pública,,ENCAMINHAMENTO DP ÁREA DO FATO,03º D.P. DIADEMA,98º D.P. JARDIM MIRIAM,Título II - Patrimônio (arts. 155 a 183),Furto (art. 155) - VEICULO,,Consumado,,,,,,,,,,,,,,,,PZR1F13,SP,DIADEMA,Branco,FIAT/FIORINO HD WK E,2017,2018,CAMINHONETE,,
